id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
48867878,1881.0,376.2,5.0,Entire home/apt,Cuauhtémoc,6.0,348.0,0.0,0.0,f,1.0,1.0
50098804,1780.0,356.0,5.0,Entire home/apt,Cuauhtémoc,1.0,34.0,18.0,32040.0,t,0.94,0.99
1015494365041263284,472.0,472.0,1.0,Private room,Iztacalco,1.0,89.0,48.0,22656.0,f,0.4,0.47
1037877048878386167,1432.0,238.66666666666663,6.0,Private room,Miguel Hidalgo,1.0,360.0,255.0,365160.0,t,1.0,1.0
816576386228400376,503.0,251.5,2.0,Entire home/apt,Azcapotzalco,1.0,362.0,246.0,123738.0,t,1.0,1.0
31540997,2975.0,495.8333333333333,6.0,Entire home/apt,Cuauhtémoc,1.0,322.0,0.0,0.0,t,1.0,1.0
15100318,271.0,271.0,1.0,Private room,Venustiano Carranza,1.0,360.0,255.0,69105.0,f,0.97,1.0
1190881319035884757,629.0,209.66666666666663,3.0,Entire home/apt,Venustiano Carranza,1.0,268.0,255.0,160395.0,f,1.0,1.0
1066945,1080.0,540.0,2.0,Private room,Coyoacán,2.0,328.0,12.0,12960.0,f,1.0,0.71
674931238587594075,766.0,191.5,4.0,Entire home/apt,Venustiano Carranza,1.0,325.0,255.0,195330.0,t,1.0,1.0
51769249,1980.0,990.0,2.0,Entire home/apt,Cuauhtémoc,1.0,358.0,78.0,154440.0,f,1.0,1.0
51670394,2377.0,594.25,4.0,Entire home/apt,Cuauhtémoc,2.0,322.0,255.0,606135.0,t,1.0,1.0
699883786354149523,1586.0,396.5,4.0,Entire home/apt,Cuauhtémoc,1.0,359.0,144.0,228384.0,f,0.85,0.97
44074573,285.0,285.0,1.0,Shared room,Cuauhtémoc,1.0,79.0,6.0,1710.0,f,1.0,1.0
665433248199042537,3254.0,650.8,5.0,Entire home/apt,Cuauhtémoc,1.0,251.0,255.0,829770.0,t,1.0,0.99
47580011,1854.0,927.0,2.0,Entire home/apt,Cuauhtémoc,1.0,184.0,72.0,133488.0,f,0.73,0.94
18313708,760.0,190.0,4.0,Entire home/apt,Álvaro Obregón,2.0,341.0,255.0,193800.0,t,0.92,1.0
1203116032634189243,606.0,303.0,2.0,Private room,Coyoacán,3.0,73.0,30.0,18180.0,f,1.0,1.0
566086371641328800,1100.0,550.0,2.0,Entire home/apt,Benito Juárez,7.0,364.0,0.0,0.0,f,1.0,
29774318,250.0,250.0,1.0,Private room,Coyoacán,20.0,81.0,0.0,0.0,f,0.33,0.0
1736063,1700.0,850.0,2.0,Hotel room,Álvaro Obregón,1.0,270.0,54.0,91800.0,t,1.0,0.93
22018842,1739.0,289.8333333333333,6.0,Entire home/apt,Miguel Hidalgo,2.0,146.0,180.0,313020.0,f,,
32527606,1994.0,997.0,2.0,Hotel room,Cuauhtémoc,1.0,365.0,0.0,0.0,f,,0.93
1130559871647510481,1274.0,637.0,2.0,Entire home/apt,Cuauhtémoc,1.0,351.0,255.0,324870.0,f,1.0,1.0
14381950,712.0,356.0,2.0,Private room,Miguel Hidalgo,1.0,297.0,66.0,46992.0,f,1.0,1.0
576790331164737935,1199.0,599.5,2.0,Private room,Cuauhtémoc,365.0,365.0,0.0,0.0,f,0.0,
36676678,855.0,142.5,6.0,Entire home/apt,Gustavo A. Madero,2.0,354.0,174.0,148770.0,f,1.0,1.0
1047114470149406124,1407.0,351.75,4.0,Entire home/apt,Miguel Hidalgo,1.0,322.0,72.0,101304.0,f,0.0,0.63
32812326,522.0,522.0,1.0,Private room,Miguel Hidalgo,30.0,268.0,0.0,0.0,f,,
20591260,696.0,348.0,2.0,Private room,Cuauhtémoc,3.0,301.0,204.0,141984.0,t,1.0,0.99
1234131902556321188,1169.0,194.8333333333333,6.0,Entire home/apt,Benito Juárez,2.0,121.0,72.0,84168.0,f,1.0,1.0
50002228,350.0,350.0,1.0,Private room,Tlalpan,2.0,344.0,102.0,35700.0,t,1.0,0.89
848413782629927532,1026.0,513.0,2.0,Entire home/apt,Cuauhtémoc,1.0,170.0,255.0,261630.0,t,1.0,1.0
45098739,524.0,262.0,2.0,Private room,Tlalpan,2.0,72.0,255.0,133620.0,t,1.0,0.99
38906476,393.0,196.5,2.0,Private room,Coyoacán,20.0,178.0,0.0,0.0,f,,
1274809565315348237,3240.0,540.0,6.0,Entire home/apt,Miguel Hidalgo,3.0,203.0,0.0,0.0,f,,
555969389628041040,640.0,320.0,2.0,Private room,Benito Juárez,3.0,349.0,84.0,53760.0,t,1.0,1.0
